project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2002517,CTPC 044,"CTPC 044, Vereda Zambo, Tauramena, Casanare",-72.8055,5.0956,2020-12-11 00:00:00,2021-01-14 00:00:00,None,,Other,,2010776,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 063,"CTPC 063, vereda Visinaca, Tauramena, Casanare",-72.733,5.1503,2020-12-11 00:00:00,2021-01-22 00:00:00,None,,Other,,2010727,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 050,"CTPC 050, Vereda Zambo, Tauramena, Casanare",-72.8046,5.1124,2020-12-11 00:00:00,2021-01-14 00:00:00,None,,Other,,2010759,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 086,"CTPC 086, Vereda Monterralo, Aguazul, Casanare",-72.6433,5.2057,2020-11-27 00:00:00,2021-01-19 00:00:00,None,,Other,,2010809,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 094,"CTPC 094, Vereda Cupiagua, Aguazul, Casanare",-72.6258,5.2114,2020-12-01 00:00:00,2021-01-13 00:00:00,None,,Other,,2010698,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 074,"CTPC 074, vereda Monterralo, Aguazul, Casanare",-72.6422,5.1864,2020-11-28 00:00:00,2021-01-18 00:00:00,None,,Other,,2010822,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 092,"CTPC 092, vereda Cupiagua, Aguazul, Casanare",-72.6428,5.2137,2020-12-03 00:00:00,2021-01-17 00:00:00,None,,Other,,2010722,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 048,"CTPC 048, Vereda Zambo, Tauramena, Casanare",-72.7963,5.104,2020-12-10 00:00:00,2021-01-11 00:00:00,None,,Other,,2010688,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 001,"CTPC 001,  Vereda Chaparral, Tauramena, Casanare",-72.7327,4.9695,2020-11-27 00:00:00,2021-01-13 00:00:00,None,,Other,,2010892,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 033,"CTPC 033, vereda Aceite Alto, Tauramena, Casanare",-72.716,5.0178,2020-11-27 00:00:00,2021-01-13 00:00:00,None,,Other,,2010173,3,Camera Functioning,Other,,Parallel,,,,,,,,,
2002517,CTPC 069,"CTPC 069, vereda Visinaca, Tauramena, Casanare",-72.7329,5.1318,2020-12-12 00:00:00,2021-01-25 00:00:00,None,,Other,,2010733,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 134,"CTPC 134, vereda El Morro, Yopal, Casanare",-72.4507,4.4681,2020-11-13 00:00:00,2021-01-24 00:00:00,None,,Other,,2010769,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 075,"CTPC 075, vereda Monterralo, Aguazul, Casanare",-72.6334,5.1854,2020-12-02 00:00:00,2021-01-18 00:00:00,None,,Other,,2010813,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 142,"CTPC 142, Vereda Marroquin, Yopal, Casanare",-72.4351,5.4768,2020-11-14 00:00:00,2021-01-11 00:00:00,None,,Other,,2010707,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 148,"CTPC 148, corregimiento El Morro, Yopal, Casanare",-72.4617,5.4941,2020-11-11 00:00:00,2021-01-26 00:00:00,None,,Other,,2010806,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 080,"CTPC 080, Vereda Monterralo, Aguazul, Casanare",-72.6408,5.1945,2020-12-01 00:00:00,2021-01-18 00:00:00,None,,Other,,2010690,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 068,"CTPC 068, Vereda Visinaca, Aguazul, Casanare",-72.7426,5.1314,2020-12-11 00:00:00,2021-01-17 00:00:00,None,,Other,,2010790,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
