project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2002516,CTRT049,"CTRT049, Vereda Rubiales, Puerto Gaitán, Meta",-71.41203,3.80056,2020-11-12 00:00:00,2020-12-15 00:00:00,None,,Other,Bosque de galería,2009325,3,Camera Functioning,Other,43cm,Unknown,,,,,,,,,
2002516,CTRT027,"CTRT027, Vereda Rubiales, Puerto Gaitán, Meta",-71.42164,3.73647,2020-11-13 00:00:00,2020-12-16 00:00:00,None,,Other,Sabana de escorrentía,2008431,3,Camera Functioning,Other,43cm,Unknown,,,,,,,,,
2002516,CRTR047,"CTRT047, Vereda Rubiales, Puerto Gaitán, Meta",-71.43033,3.79975,2020-11-11 00:00:00,2020-12-15 00:00:00,None,,Other,Rastrojo cerca a hormiguero,2009323,3,Camera Functioning,Other,45cm,Unknown,,,,,,,,,
2002516,CTRT085,"CTRT085, Vereda Rubiales, Puerto Gaitán, Meta",-71.49317,3.83692,2020-11-10 00:00:00,2020-12-17 00:00:00,None,,Other,Sabana intervenida,2009335,3,Camera Functioning,Other,37cm,Unknown,,,,,,,,,
2002516,CTRT007,"CTRT007, Vereda Puerto Triunfo, Puerto Gaitán, Meta",-71.70903,3.70228,2020-11-08 00:00:00,2020-12-14 00:00:00,None,,Other,Sabana Ferrosa,2008416,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT048,"CTRT048, Vereda Rubiales, Puerto Gaitán, Meta",-71.42167,3.80019,2020-11-12 00:00:00,2020-12-15 00:00:00,None,,Other,Bosque de galería,2009324,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT074,"CTRT074, Vereda Rubiales, Puerto Gaitán, Meta",-71.45664,3.82675,2020-11-11 00:00:00,2020-12-17 00:00:00,None,,Other,Bosque de galería,2009331,3,Camera Functioning,Other,46cm,Unknown,,,,,,,,,
2002516,CTRT060,"CTRT060, Vereda Rubiales, Puerto Gaitán, Meta",-71.42097,3.81822,2020-11-11 00:00:00,2020-12-15 00:00:00,None,,Other,Junto a plataforma,2009328,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT083,"CTRT083, Vereda Rubiales, Puerto Gaitán, Meta",-71.51119,3.83653,2020-11-09 00:00:00,2020-12-17 00:00:00,None,,Other,Sabana inundable,2009334,3,Camera Functioning,Other,30cm,Unknown,,,,,,,,,
2002516,CTRT020,"CTRT020, Vereda Rubiales, Puerto Gaitán, Meta",-71.43964,3.718056,2020-11-13 00:00:00,2020-12-16 00:00:00,None,,Other,Bosque de galería,2008422,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT016 ,"CTRT016, Vereda Rubiales, Puerto Gaitán, Meta",-71.43953,3.70989,2020-11-13 00:00:00,2020-12-16 00:00:00,None,,Other,Cultivo de palma,2008423,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT041,"CTRT041, Vereda Puerto Triunfo, Puerto Gaitán, Meta.",-71.70039,3.78208,2020-11-07 00:00:00,2020-12-14 00:00:00,None,,Other,Borde de Carretera en matorral,2009320,3,Camera Functioning,Other,48cm,Unknown,,,,,,,,,
2002516,CTRT106,"CTRT106, Vereda Rubiales, Puerto Gaitán, Meta",-71.33158,3.84528,2020-11-12 00:00:00,2020-12-15 00:00:00,None,,Other,Bosque de galería,2009338,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT059,"CTRT059, Vereda Rubiales, Puerto Gaitán, Meta",-71.43033,3.81822,2020-11-11 00:00:00,2020-12-15 00:00:00,None,,Other,Sabana bajo,2009327,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
2002516,CTRT093,"CTRT093, Vereda Puerto Triunfo, Puerto Gaitán, Meta",-71.3126,3.8363,2020-11-12 00:00:00,2020-12-15 00:00:00,None,,Trail game,,2009233,3,Camera Functioning,Knee height,,Unknown,,,,,,,,,
2002516,CTRT046,"CTRT046, Vereda Rubiales, Puerto Gaitán, Meta",-71.43903,3.80036,2020-11-11 00:00:00,2020-12-15 00:00:00,None,,Other,Rastrojo,2009322,3,Camera Functioning,Other,43cm,Unknown,,,,,,,,,
2002516,CTRT015,"CTRT015, Vereda Puerto Triunfo, Puerto Gaitán, Meta",-71.69217,3.70972,2020-11-08 00:00:00,2020-12-14 00:00:00,None,,Other,Borde entre sabana y bosque de galería,2008420,3,Camera Functioning,Other,40cm,Unknown,,,,,,,,,
