project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2006901,2094019,IAM4,,,,
2003748,2061536,01,,,,
2003748,2093865,6,,,,
2003748,2029554,DCT_Silvestre_C2_2021,,,,
2006903,2094014,Burshnell,,,,
2003748,2029399,DCT_Silvestre_2021_c8,,,,
2003751,2018302,BZ20203500706,,,,
2003610,2092120,Bushnell1,,,,
2006900,2094017,BUSHNELL,,,,
2003748,2029401,DCT_Silvestre_C9_2021,,,,
2006906,2094014,Burshnell,,,,
2003748,2093868,12,,,,
2003748,2029403,DCT_Silvestre_C11_2021,,,,
2003610,2092094,Vickery1,,,,
2003748,2051902,-,,,,
2006900,2094014,Burshnell,,,,
2003610,2092095,ConaCamara1,,,,
2004667,2092743,POZO 14 1,,,,
2006904,2094015,BUSHNELL ,,,,
2003610,2092096,Vikeri2,,,,
2004667,2067026,000,,,,
2006788,2092039,MC-1,,,,
2004667,2092749,TABACO CR2 1,,,,
2003748,2093866,8,,,,
2004631,2018294,BZ20203500900,,,,
2006786,2092039,MC-1,,,,
2003748,2029409,DCT_Silvestre_C16_2021,,,,
2003748,2029555,DCT_Silvestre_C14_2021,,,,
2003610,2092092,ConaCamara3,,,,
2006807,2092120,Bushnell1,,,,
2006902,2092120,Bushnell1,,,,
2003751,2018294,BZ20203500900,,,,
2004667,2092746,BRUNO 1,,,,
2006902,2094017,BUSHNELL,,,,
2004667,2092586,ESTRELLA 1,,,,
2003751,2066962,2110157505215HDAPx20C,,,,
2006789,2092107,SYNDESMOS_1,,,,
2006904,2094016,Bushnell,,,,
2004667,2092744,POZO 14 2,,,,
2003610,2092101,Meidase1,,,,
2003748,2029404,DCT_Silvestre_C12_2021,,,,
2004631,2029442,00002,,,,
2004654,2092587,CT1,,,,
2006812,2092535,CAMPARKCAM01,,,,
2006901,2094020,IAM4-3,,,,
2003748,2093864,5,,,,
2006812,2092536,CAMPARKCAM02,,,,
2004667,2092747,BRUNO 2,,,,
2003748,2093874,18,,,,
2004667,2092741,MUSHAISA 2,,,,
2003748,2093870,14,,,,
2004654,2067026,000,,,,
2006903,2094016,Bushnell,,,,
2004667,2092745,MANANTIAL 1,,,,
2003610,2092091,Vikeri3,,,,
2003748,2029392,DTC_Silvestre_C3_2021,,,,
2004667,2092748,TABACO 3T 1,,,,
2006905,2092120,Bushnell1,,,,
2003610,2092093,ConaCamara2,,,,
2003748,2029395,DCT_Silvestre_2021_C5,,,,
2003748,2029442,00002,,,,
2004667,2092740,MUSHAISA 1,,,,
2006906,2094016,Bushnell,,,,
2006804,2092503,Bushnel 4k la llorona,,,,
2006812,2092508,KIPIGminiTrail01,,,,
2003748,2093867,11,,,,
2004667,2051902,-,,,,
2003748,2029407,DCT_Silvestre_C15_2021,,,,
2003748,2093873,17,,,,
2006904,2094017,BUSHNELL,,,,
2004667,2092750,S&S 1,,,,
2003748,2093871,15,,,,
2004667,2092751,S&S 2,,,,
2004667,2092739,ESTRELLA 2,,,,
2003748,2028670,C1,,,,
2003748,2093869,13,,,,
2003748,2029406,DCT_Silvestre_C13_2021,,,,
2004654,2051902,-,,,,
2003748,2029393,DCT_Silvestre_2021_C4,,,,
2006901,2094014,Burshnell,,,,
