"site_name","n()","departamento","nspMamiferos","nspAves","lat","lon","ospMamiferos","ospAves","ndepl","effort","start_date","end_date","nspTot","ospTot","nspMamiferosCol","nspAvesCol","rank_onsp","rank_onMamiferos","rank_onAves","rank_effort","rank_images","rank_ndepl","row","collector","organization_name"
"Bahía Málaga 2014",4553,"VALLE DEL CAUCA",48,51,3.944845353613,-77.1893496079508,16,7,20,668,2014-07-01,2014-08-07,99,23,94,110,9,9,4,7,6,4,1,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Cajambre 2014",3882,"VALLE DEL CAUCA",48,51,3.51698235162287,-77.2599506329212,15,10,19,849,2014-10-22,2014-12-12,99,25,94,110,7,10,2,2,8,5,2,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Caño Cristales 2016.0",4950,"META",57,48,2.26899218222222,-73.7819276513131,26,2,19,596,2016-10-25,2016-12-13,105,28,94,110,2,1,11,9,5,7,3,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Filandia 2013",5039,"QUINDÍO",14,32,4.69064215518952,-75.6246950168684,19,6,20,811,2013-12-17,2014-01-30,46,25,94,110,8,5,6,4,3,1,4,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Montes de María, Estación Primates 2014",4963,"SUCRE",28,22,9.55747928312016,-75.3617600438125,21,4,20,892,2014-10-17,2014-12-08,50,25,94,110,6,3,8,1,4,3,5,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Mutatá 2015",12409,"ANTIOQUIA",58,63,7.18242905979644,-76.4943321663486,18,10,16,820,2015-02-20,2015-04-22,121,28,94,110,1,7,1,3,1,10,6,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Paipa 2013",1953,"BOYACÁ",38,52,5.8475246031746,-73.1145187250384,10,2,18,530,2013-10-17,2013-11-20,90,12,94,110,12,12,12,12,11,8,7,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Parque Nacional Natural Sierra Nevada de Santa Marta 2015",3451,"MAGDALENA",38,30,10.9860563204839,-74.0807446639843,23,3,12,553,2015-01-03,2015-04-11,68,26,94,110,5,2,9,11,9,12,8,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Parque Natural Regional Bosque Seco El Ceibal Mono Tití 2014",4373,"BOLÍVAR",30,30,10.6369633342559,-75.2444455453007,20,6,15,724,2014-12-06,2015-02-06,60,26,94,110,4,4,7,6,7,11,9,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Pie de Pepe 2014",6204,"CHOCÓ",40,55,5.11306572130883,-76.8766936843972,17,9,20,733,2014-08-25,2014-10-05,95,26,94,110,3,8,3,5,2,2,10,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Uribe Uribe 2014",1941,"SANTANDER",40,42,7.2676004997424,-73.3577334157651,18,2,19,664,2014-02-24,2014-04-26,82,20,94,110,10,6,10,8,12,6,11,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
"Vereda Alto Gaital",1967,"SANTANDER",40,42,6.07117839857651,-73.8044809028978,11,6,16,589,2016-08-16,2016-10-28,82,17,94,110,11,11,5,10,10,9,12,"Angélica Díaz-Pulido","Instituto Alexander von Humboldt"
